name,rarity,attunementRequired,cursed,sentient,weight,baseItem,itemType,conditionImmunities,damageImmunities,damageResistances,firearm,range,weapon,weaponBonus,weaponCategory,weaponProperty,damage1,damage1Type,damage2,grantsProficiency,armor,armorClassBonus,armorClassFixed,requiredStrength,stealth,poison,tattoo,savingThrowBonus,spellAttackBonus,spellSaveDCBonus,charges,recharge,attachedSpells
Barrier Tattoo (Very Rare),very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Basic Poison (vial),none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,1,0,0,0,0,0,,
Basket,none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Battering Shield,rare,1,0,0,6.0,shield|PHB,S,,,,0,,0,0,,,0,,0,0,0,1,2,0,0,0,0,0,0,0,3,dawn,
Battle Standard of Infernal Power,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bead of Force,rare,0,0,0,6.25e-2,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bead of Nourishment,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bead of Refreshment,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bedroll,none,0,0,0,7.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bejeweled ivory drinking horn with gold filigree,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bejeweled ivory drinking horn with gold inlay (Brazen Coalition),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belashyrra's Beholder Crown,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,10,dawn,"charm person,disintegrate,fear,finger of death,flesh to stone,hold person,ray of enfeeblement,sleep,slow,telekinesis"
Bell,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bell Branch,rare,1,0,0,1.0e-2,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,protection from evil and good
Belt of Cloud Giant Strength,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belt of Dwarvenkind,rare,1,0,0,0.0,,,,,poison,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belt of Fire Giant Strength,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belt of Frost Giant Strength,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belt of Hill Giant Strength,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belt of Stone Giant Strength,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Belt of Storm Giant Strength,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Birdpipes,none,0,0,0,0.0,,INS,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bit and bridle,none,0,0,0,1.0,,TAH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Black Crystal Tablet,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,"eyebite,gate"
Black Dragon Mask,legendary,1,0,0,0.0,,,,,acid,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,0,0,0,,
Black Dragon Scale Mail,very rare,1,0,0,45.0,,MA,,,acid,0,,0,0,,,0,,0,0,0,1,14,0,1,0,0,1,0,0,0,,
Black Opal,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Black Pearl,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Black Sap,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Black Sapphire,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Black velvet mask stitched with silver thread,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blackrazor,legendary,1,0,1,6.0,greatsword|phb,M,,,,0,,0,3,martial,"H,2H",2D6,S,2D6,0,0,0,,0,0,0,0,0,0,0,0,,haste
Blackstaff,legendary,1,0,1,4.0,,,,,,0,,0,2,simple,V,1D6,B,1D6,0,0,2,,0,0,0,0,2,2,0,20,dawn,"cone of cold,fireball,globe of invulnerability,hold monster,levitate,lightning bolt,magic missile,ray of enfeeblement,wall of force,dispel magic"
Blade of Avernus,artifact,1,0,0,3.0,longsword|phb,M,,,,0,,0,3,martial,V,1D8,S,1D8,0,0,0,,0,0,0,0,0,0,0,0,,word of recall
Blade of Broken Mirrors,artifact,1,0,1,1.0,dagger|phb,M,,,,0,20/60,1,1,simple,"F,L,T",1D4,P,1D4,0,0,0,,0,0,0,0,0,0,0,0,,"fabricate,hallucinatory terrain,major image,phantasmal killer"
Blanket,none,0,0,0,3.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blast Scepter,very rare,1,0,0,0.0,,RD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,thunderwave
Blasting Powder,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blight Ichor,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Block and Tackle,none,0,0,0,5.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blod Stone,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blood Fury Tattoo,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,10,dawn,
Blood Fury Tattoo,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Blood of the Lycanthrope,none,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,1,0,0,0,0,0,,
Blood of the Lycanthrope Antidote,uncommon,0,0,0,0.0,,P,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blood Spear,uncommon,1,0,0,3.0,spear|phb,M,,,,0,20/60,0,2,simple,"T,V",1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Bloodaxe,very rare,1,0,0,7.0,greataxe|PHB,M,,,,0,,1,2,martial,"H,2H",1D12,S,1D12,0,0,0,,0,0,0,0,0,0,0,0,,
Bloodstone,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blue Dragon Mask,legendary,1,0,0,0.0,,,,,lightning,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,0,0,0,,
Blue Dragon Scale Mail,very rare,1,0,0,45.0,,MA,,,lightning,0,,0,0,,,0,,0,0,0,1,14,0,1,0,0,1,0,0,0,,
Blue Quartz,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blue Sapphire,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blue Spinel,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bob,unknown (magic),0,0,0,4.0,battleaxe|phb,M,,,,0,,0,1,martial,V,1D8,S,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Bomb,none,0,0,0,1.0,,EXP,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bonecounter,rare,0,0,0,4.0,mace|phb,M,,,,0,,0,2,simple,,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Book,none,0,0,0,5.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Book of Exalted Deeds,artifact,1,0,0,5.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Book of Vile Darkness,artifact,1,0,0,5.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,dominate monster
Bookmark,legendary,1,0,0,1.0,dagger|phb,M,,,,0,20/60,0,3,simple,"F,L,T",1D4,P,1D4,0,0,0,,0,0,0,0,0,0,0,0,,"dimension door,compulsion"
Boots of Elvenkind,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Boots of False Tracks,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Boots of Levitation,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,levitate
Boots of Speed,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Boots of Striding and Springing,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Boots of the Winterlands,uncommon,1,0,0,0.0,,,,,cold,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Boros Guild Signet,uncommon,1,0,0,0.0,,RG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,heroism
Boros Keyrune,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bottle stopper cork embossed with gold leaf and set with amethysts,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bottled Breath,uncommon,0,0,0,0.0,,P,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,gust of wind
Bowl of Commanding Water Elementals,rare,0,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,conjure elemental
Box of turquoise animal figurines,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bracelet of Rock Magic,very rare,1,1,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,"flesh to stone,stone shape"
Bracer of Flying Daggers,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bracers of Archery,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,0,0,0,,
Bracers of Defense,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,2,,0,0,0,0,0,0,0,0,,
Brass Dragon Scale Mail,very rare,1,0,0,45.0,,MA,,,fire,0,,0,0,,,0,,0,0,0,1,14,0,1,0,0,1,0,0,0,,
Brass mug with jade inlay,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Brazier of Commanding Fire Elementals,rare,0,0,0,5.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,conjure elemental
Breathing Bubble,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Brewer's Supplies,none,0,0,0,9.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bridle of Capturing,rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,dominate beast
Bronze crown,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bronze Dragon Scale Mail,very rare,1,0,0,45.0,,MA,,,lightning,0,,0,0,,,0,,0,0,0,1,14,0,1,0,0,1,0,0,0,,
Bronze spyglass (Brazen Coalition),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Brooch of Living Essence,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Brooch of Shielding,uncommon,1,0,0,0.0,,,,,force,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Broom of Flying,uncommon,0,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bucket,none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bullseye Lantern,none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Burglar's Pack,none,0,0,0,44.5,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Burnt Othur Fumes,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,1,0,0,0,0,0,,
Butcher's Bib,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Calligrapher's Supplies,none,0,0,0,5.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Caltrop,none,0,0,0,0.1,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Caltrops (bag of 20),none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Camel,none,0,0,0,0.0,,MNT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Candle,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Candle Mace,unknown (magic),0,0,0,4.0,mace|phb,M,,,,0,,1,0,simple,,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Candle of Invocation,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,gate
Candle of the Deep,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Canoe,none,0,0,0,100.0,,SHP,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Canvas (1 sq. yd.),none,0,0,0,0.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cap of Water Breathing,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cape of the Mountebank,rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,dimension door
Carnelian,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carpenter's Tools,none,0,0,0,6.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Carpet of Flying, 3 ft. × 5 ft.",very rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Carpet of Flying, 4 ft. × 6 ft.",very rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Carpet of Flying, 5 ft. × 7 ft.",very rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Carpet of Flying, 6 ft. × 9 ft.",very rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carriage,none,0,0,0,600.0,,VEH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carrion Crawler Mucus,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,1,0,0,0,0,0,,
Cart,none,0,0,0,200.0,,VEH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cartographer's Map Case,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cartographer's Tools,none,0,0,0,6.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carved bone statuette,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carved harp of exotic wood with ivory inlay and zircon gems,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carved ivory statuette,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Carved jade statuette (River Heralds),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cauldron of Plenty,rare,0,0,0,50.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cauldron of Rebirth,very rare,1,0,0,1.0e-2,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,"raise dead,scrying"
Censer of Controlling Air Elementals,rare,0,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,conjure elemental
Ceremonial electrum dagger with a black pearl in the pommel,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Ceremonial silver dagger with gold pommel and black pearl (Legion of Dusk),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chain (10 feet),none,0,0,0,10.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chalcedony,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chalk (1 piece),none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chariot,none,0,0,0,100.0,,VEH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Charlatan's Die,common,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Charm of Plant Command,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,speak with plants
Charred Wand of Magic Missiles,none,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chest,none,0,0,0,25.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chest of Preserving,common,0,0,0,25.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chicken,none,0,0,0,0.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chime of Opening,rare,0,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chip of Creation,artifact,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,demiplane
Chronolometer,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,1,0,0,0,,
Chrysoberyl,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chrysoprase,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Chunk of Meat,none,0,0,0,0.0,,FD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cinnamon,none,0,0,0,1.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Circlet of Blasting,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,scorching ray
Circlet of Human Perfection,uncommon,1,0,0,0.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Citrine,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Claw of the Wyrm Rune,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Claws of the Umber Hulk,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,0,0,0,,
Cleansing Stone,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Climber's Kit,none,0,0,0,12.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloak of Arachnida,very rare,1,0,0,0.0,,,,,poison,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,web
Cloak of Billowing,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloak of Displacement,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloak of Elvenkind,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloak of Invisibility,legendary,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloak of Many Fashions,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloak of Protection,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,1,,0,0,0,0,1,0,0,0,,
Cloak of the Bat,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,polymorph
Cloak of the Manta Ray,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Clockwork Amulet,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Clockwork Dog,unknown (magic),0,0,0,0.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloth-of-gold vestments,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloth-of-gold vestments (Legion of Dusk),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Clothes of Mending,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Clothing, cold weather",none,0,0,0,5.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cloves,none,0,0,0,1.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cobbler's Tools,none,0,0,0,5.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Coiling Grasp Tattoo,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Coiling Grasp Tattoo,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Coin of Decisionry,varies,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Coin of Delving,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cold Absorbing Tattoo,very rare,1,0,0,0.0,,,,,cold,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Common Clothes,none,0,0,0,3.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Common Glamerweave,common,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Common Wine (Pitcher),none,0,0,0,0.0,,FD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Component Pouch,none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Concertina,rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Conch of Safe Rest,unknown (magic),0,0,0,2.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Conch of Teleportation,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,teleport
Cook's Utensils,none,0,0,0,8.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Copper,none,0,0,0,1.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Copper (cp),none,0,0,0,2.0e-2,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Copper Alms-Coin,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Copper chalice with silver filigree,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Copper Dragon Scale Mail,very rare,1,0,0,45.0,,MA,,,acid,0,,0,0,,,0,,0,0,0,1,14,0,1,0,0,1,0,0,0,,
Copper stein with silver filigree (Brazen Coalition),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Copper Zib,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Coral,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Costume Clothes,none,0,0,0,4.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cotton Cloth (1 sq. yd.),none,0,0,0,0.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cow,none,0,0,0,0.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Cracked Driftglobe,uncommon,0,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,light
Crampons,none,0,0,0,0.25,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Crook of Rao,artifact,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,6,dawn,"aura of life,aura of purity,banishment,beacon of hope,gate,mass cure wounds"
Crossbow Bolt Case,none,0,0,0,1.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
